PROPERTY VALUE ERROR+ ERROR- COMMENT
FILENAME nan nan nan SN2015bn_SDSS_r.fits
DATE-OBS nan nan nan ...
MJD nan nan nan ...
EXPTIME nan nan nan ...
NCOMBINE nan nan nan 1
PHOTCAL nan nan nan SDSS/r
RA 173.42312622070312 nan nan degree
DEC 0.7259719967842102 nan nan degree
X_IMAGE_EXP 1514.5 nan nan px
Y_IMAGE_EXP 1514.5 nan nan px
XWIN_IMAGE_OBS 1513.9000244140625 nan nan px
YWIN_IMAGE_OBS 1513.9000244140625 nan nan px
"DISTANCE (px)" 0.8600000143051147 nan nan px
"DISTANCE (arcsec)" 0.3400000035762787 nan nan arcsec
MAG_APER_PHOTUTILS nan nan nan mag
MAG_APER_PHOTUTILS_3SIGMA nan nan nan mag
FNU_APER_PHOTUTILS nan nan nan mag
MAG_APER_1_PHOTUTILS nan nan nan mag
MAG_APER_1_PHOTUTILS_3SIGMA nan nan nan mag
FNU_APER_1_PHOTUTILS nan nan nan mag
MAG_APER_2_PHOTUTILS nan nan nan mag
MAG_APER_2_PHOTUTILS_3SIGMA nan nan nan mag
FNU_APER_2_PHOTUTILS nan nan nan mag
MAG_APER_3_PHOTUTILS nan nan nan mag
MAG_APER_3_PHOTUTILS_3SIGMA nan nan nan mag
FNU_APER_3_PHOTUTILS nan nan nan mag
MAG_AUTO 22.84600067138672 0.37400001287460327 0.27799999713897705 mag
MAG_PETRO 22.97100067138672 0.7070000171661377 0.42500001192092896 mag
MAG_APER 22.791000366210938 0.3659999966621399 0.27300000190734863 mag
MAG_APER_1 23.24799919128418 1.4739999771118164 0.6029999852180481 mag
MAG_APER_2 121.48500061035156 nan nan mag
MAG_APER_3 121.50299835205078 nan nan mag
