PROPERTY VALUE ERROR+ ERROR- COMMENT
FILENAME nan nan nan SN2015bn_F625W_drc.fits
DATE-OBS nan nan nan 2017-06-01T00:00:00.000
MJD nan nan nan 57905.0
EXPTIME nan nan nan 2356.0
NCOMBINE nan nan nan 4
RA 173.42298889160156 nan nan degree
DEC 0.7258839011192322 nan nan degree
X_IMAGE_EXP 2181.785888671875 nan nan px
Y_IMAGE_EXP 3167.39697265625 nan nan px
X_IMAGE_OBS 2181.785888671875 nan nan px
Y_IMAGE_OBS 3167.39697265625 nan nan px
"DISTANCE (px)" 0.0 nan nan px
"DISTANCE (arcsec)" 0.0 nan nan arcsec
FNU_APER_0 0.07050000131130219 0.05356999859213829 0.05356999859213829 microJy
MAG_APER_0 26.77899932861328 1.5479999780654907 0.6140000224113464 mag
MAG_APER_0_2sigma 26.325000762939453 nan nan mag
MAG_APER_0_3sigma 25.885000228881836 nan nan mag
FNU_APER_1 1.7289999723434448 0.03857000172138214 0.03857000172138214 microJy
MAG_APER_1 23.305999755859375 0.024000000208616257 0.024000000208616257 mag
MAG_APER_1_2sigma 26.68199920654297 nan nan mag
MAG_APER_1_3sigma 26.240999221801758 nan nan mag
FNU_APER_2 3.0859999656677246 0.0335099995136261 0.0335099995136261 microJy
MAG_APER_2 22.677000045776367 0.012000000104308128 0.012000000104308128 mag
MAG_APER_2_2sigma 26.834999084472656 nan nan mag
MAG_APER_2_3sigma 26.393999099731445 nan nan mag
FNU_APER_3 3.877000093460083 0.0318400003015995 0.0318400003015995 microJy
MAG_APER_3 22.429000854492188 0.008999999612569809 0.008999999612569809 mag
MAG_APER_3_2sigma 26.889999389648438 nan nan mag
MAG_APER_3_3sigma 26.450000762939453 nan nan mag
FNU_APER_4 4.663000106811523 0.04391000047326088 0.04391000047326088 microJy
MAG_APER_4 22.22800064086914 0.009999999776482582 0.009999999776482582 mag
MAG_APER_4_2sigma 26.541000366210938 nan nan mag
MAG_APER_4_3sigma 26.10099983215332 nan nan mag
FNU_APER_5 4.794000148773193 0.056689999997615814 0.056689999997615814 microJy
MAG_APER_5 22.197999954223633 0.013000000268220901 0.013000000268220901 mag
MAG_APER_5_2sigma 26.263999938964844 nan nan mag
MAG_APER_5_3sigma 25.822999954223633 nan nan mag
